,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
abandon,1.329543525996356E-4,1.927866749611958E-4,3.4361864103638136E-6,1.947528986677756E-4,1.9966307834270249E-4,3.244614750667579E-5,2.9992789336844554E-4,3.491855370301426E-4,3.116210834270742E-4,1.7761894696831102E-5
abba,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,0.001060954788840635,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,1.283145637640894E-4,7.282376825700751E-4
abc,2.6069480901889334E-6,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,8.221420872934809E-5,3.5690762257343373E-4,1.7599074734842672E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
abedin,2.6069480901889334E-6,4.7021140234438E-6,0.001343548886452251,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,3.7299978863345314E-4
abil,3.9364916161852893E-4,1.457655347267578E-4,3.4361864103638136E-6,3.4750027017191337E-4,1.9966307834270249E-4,3.244614750667579E-5,4.4865246859246817E-4,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
abl,8.62899817852537E-4,5.219346566022619E-4,4.8450228386129763E-4,6.529950131801889E-4,3.9541119436495986E-4,3.244614750667579E-5,5.230147562044795E-4,1.0328022926243655E-4,2.5051891020607927E-4,1.7761894696831102E-5
abort,1.8509331440341427E-4,3.808712358989478E-4,3.4361864103638136E-6,0.0010730502848165678,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,1.283145637640894E-4,1.7761894696831102E-5
abraham,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,1.1837921291570675E-4,1.6051345513825102E-4,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
abroad,4.4578812342230766E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,2.50353034960438E-4,1.5246129081597775E-4,1.283145637640894E-4,1.7761894696831102E-5
absenc,2.867642899207827E-5,1.927866749611958E-4,3.4361864103638136E-6,8.019237003967232E-5,1.2136383193379956E-4,3.244614750667579E-5,2.0077817655243048E-4,1.0328022926243655E-4,1.283145637640894E-4,1.7761894696831102E-5
