S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,
state (0.011),parti (0.014),call (0.013),senat (0.015),israel (0.016),state (0.071),presid (0.011),koch (0.007),inform (0.015),pm (0.086),
govern (0.008),obama (0.010),work (0.011),republican (0.011),isra (0.012),hous (0.071),obama (0.010),said (0.006),subject (0.014),secretari (0.051),
work (0.008),republican (0.009),get (0.010),democrat (0.011),palestinian (0.009),comm (0.071),said (0.009),year (0.006),sensit (0.014),offic (0.043),
women (0.007),percent (0.008),want (0.009),hous (0.010),state (0.008),date (0.071),clinton (0.009),compani (0.005),agreement (0.014),room (0.033),
secur (0.007),elect (0.008),know (0.008),said (0.010),american (0.008),benghazi (0.070),state (0.007),new (0.005),redact (0.013),depart (0.033),
unit (0.006),democrat (0.008),thank (0.008),obama (0.009),peac (0.008),select (0.070),new (0.006),china (0.005),american (0.006),state (0.023),
nation (0.006),conserv (0.007),see (0.007),bill (0.008),arab (0.006),dept (0.070),polici (0.006),govern (0.004),attack (0.006),meet (0.022),
countri (0.006),poll (0.007),meet (0.007),vote (0.008),jewish (0.006),doc (0.070),one (0.006),parti (0.004),report (0.006),privat (0.017),
support (0.005),polit (0.006),also (0.007),presid (0.007),obama (0.005),foia (0.070),say (0.006),say (0.004),state (0.005),resid (0.017),
develop (0.005),presid (0.006),go (0.007),one (0.006),polit (0.005),produc (0.070),time (0.006),david (0.004),said (0.005),arriv (0.017),
need (0.005),tea (0.005),time (0.007),health (0.005),netanyahu (0.005),waiver (0.070),foreign (0.005),school (0.004),one (0.005),en (0.015),
peopl (0.005),vote (0.005),tomorrow (0.006),like (0.005),right (0.005),case (0.056),us (0.005),time (0.004),libya (0.005),rout (0.015),
us (0.005),new (0.005),good (0.006),care (0.005),govern (0.005),receiv (0.007),offici (0.005),percent (0.004),benghazi (0.005),confer (0.013),
also (0.004),american (0.005),think (0.006),white (0.005),settlement (0.004),wed (0.004),secretari (0.004),peopl (0.004),peopl (0.005),washington (0.012),
effort (0.004),voter (0.005),today (0.006),boehner (0.004),like (0.004),time (0.004),administr (0.004),also (0.004),kill (0.004),daili (0.011),
afghan (0.004),time (0.005),like (0.006),reform (0.004),one (0.004),jan (0.003),afghanistan (0.004),polit (0.004),day (0.004),time (0.010),
world (0.004),support (0.005),let (0.005),year (0.004),negoti (0.004),messag (0.002),hous (0.004),work (0.004),say (0.004),bilater (0.009),
afghanistan (0.004),labour (0.005),back (0.005),new (0.004),unit (0.004),microsoft (0.002),mcchrystal (0.004),us (0.004),govern (0.004),photo (0.008),
intern (0.004),group (0.005),need (0.005),support (0.004),time (0.004),origin (0.002),war (0.004),deal (0.004),two (0.004),camera (0.008),
new (0.004),nation (0.005),email (0.005),time (0.004),new (0.004),news (0.002),like (0.004),american (0.003),case (0.004),assist (0.008),
includ (0.004),like (0.004),talk (0.005),work (0.004),peopl (0.004),newspap (0.002),white (0.004),ireland (0.003),women (0.004),spray (0.008),
econom (0.004),one (0.004),discuss (0.005),polit (0.004),world (0.004),sep (0.002),american (0.004),one (0.003),year (0.004),treati (0.007),
help (0.004),beck (0.004),ask (0.005),parti (0.004),jerusalem (0.004),servic (0.002),gener (0.003),problem (0.003),last (0.004),dc (0.007),
depart (0.003),year (0.004),make (0.005),committe (0.004),parti (0.004),sun (0.002),mr (0.003),first (0.003),offic (0.004),floor (0.007),
forc (0.003),movement (0.004),week (0.005),campaign (0.004),east (0.003),copyright (0.002),militari (0.003),issu (0.003),us (0.004),press (0.007),
one (0.003),approv (0.004),one (0.004),american (0.004),leader (0.003),associ (0.001),nation (0.003),million (0.003),mani (0.003),staff (0.007),
year (0.003),right (0.004),day (0.004),congress (0.004),presid (0.003),birth (0.001),year (0.003),support (0.003),unit (0.003),ambassador (0.006),
haiti (0.003),among (0.004),sent (0.004),get (0.004),talk (0.003),car (0.001),washington (0.003),chang (0.003),secur (0.003),offici (0.006),
make (0.003),candid (0.004),hope (0.004),could (0.003),call (0.003),condit (0.001),also (0.003),nation (0.003),famili (0.003),special (0.006),
issu (0.003),say (0.004),secretari (0.004),go (0.003),year (0.003),death (0.001),secur (0.003),dollar (0.003),forc (0.003),hous (0.006),
diplomaci (0.003),point (0.004),best (0.004),leader (0.003),us (0.003),ho (0.001),could (0.003),econom (0.003),clinton (0.003),nw (0.006),
provid (0.003),tori (0.004),come (0.004),peopl (0.003),group (0.003),intern (0.001),polit (0.003),like (0.003),violenc (0.003),preced (0.006),
global (0.003),first (0.003),well (0.004),also (0.003),support (0.003),job (0.001),last (0.003),northern (0.003),work (0.003),foreign (0.006),
polit (0.003),campaign (0.003),pleas (0.004),major (0.003),want (0.003),onlin (0.001),think (0.003),last (0.003),polic (0.003),brief (0.006),
said (0.003),skousen (0.003),send (0.004),public (0.003),minist (0.003),provid (0.001),first (0.003),vote (0.003),also (0.003),minist (0.006),
polici (0.003),show (0.003),us (0.004),even (0.003),intern (0.003),sat (0.001),meet (0.003),women (0.003),murder (0.003),top (0.005),
right (0.003),book (0.003),morn (0.004),say (0.003),issu (0.003),search (0.001),former (0.003),group (0.003),investig (0.003),presid (0.005),
region (0.003),rate (0.003),draft (0.003),make (0.003),say (0.003),standard (0.001),go (0.003),polici (0.003),iraq (0.003),center (0.005),
mani (0.003),said (0.003),issu (0.003),two (0.003),administr (0.003),term (0.001),minist (0.003),countri (0.003),militari (0.003),lona (0.005),
militari (0.003),two (0.003),could (0.003),staff (0.003),secur (0.003),use (0.001),get (0.003),uup (0.003),call (0.003),fm (0.004),
could (0.003),govern (0.003),say (0.003),day (0.003),believ (0.003),websit (0.001),even (0.003),could (0.003),offici (0.003),presidenti (0.004),
commun (0.003),state (0.003),speech (0.003),call (0.003),iran (0.003),angel (0.001),world (0.003),job (0.003),home (0.002),valmoro (0.004),
foreign (0.003),member (0.003),state (0.003),first (0.003),middl (0.003),dem (0.001),hillari (0.003),justic (0.003),iran (0.002),affair (0.004),
presid (0.003),palin (0.003),last (0.003),back (0.003),said (0.003),ed (0.001),make (0.002),way (0.003),libyan (0.002),convent (0.004),
china (0.003),also (0.003),next (0.003),state (0.003),make (0.003),holiday (0.001),nuclear (0.002),cameron (0.003),first (0.002),white (0.004),
group (0.003),call (0.003),offic (0.003),member (0.003),public (0.003),lo (0.001),iran (0.002),economi (0.003),secretari (0.002),hrc (0.004),
chang (0.003),disapprov (0.003),cheryl (0.003),pass (0.003),think (0.003),marriag (0.001),senior (0.002),state (0.003),border (0.002),senior (0.004),
american (0.003),presidenti (0.003),great (0.003),clinton (0.002),nation (0.003),properti (0.001),use (0.002),think (0.003),brother (0.002),remark (0.004),
public (0.003),per (0.002),follow (0.003),need (0.002),muslim (0.003),abc (0.000),want (0.002),public (0.003),countri (0.002),street (0.004),
