S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,
call (0.016),benghazi (0.176),sent (0.046),state (0.133),obama (0.007),agricultur (0.031),h (0.041),pm (0.108),state (0.009),assist (0.049),http (0.034),receiv (0.024),parti (0.020),percent (0.077),
work (0.011),comm (0.174),thank (0.039),date (0.070),would (0.007),develop (0.018),sid (0.031),secretari (0.054),would (0.006),secretari (0.040),time (0.027),percent (0.023),tori (0.014),thx (0.052),
get (0.011),hous (0.174),blackberri (0.035),dept (0.070),presid (0.006),approach (0.017),foreign (0.026),offic (0.053),govern (0.005),state (0.037),spoke (0.019),among (0.022),ireland (0.012),cdm (0.047),
want (0.010),produc (0.173),best (0.033),agreement (0.069),said (0.006),need (0.017),fyi (0.024),depart (0.041),said (0.005),pleas (0.027),url (0.019),republican (0.016),cameron (0.012),disapprov (0.041),
know (0.009),select (0.173),year (0.033),doc (0.069),one (0.005),support (0.013),memo (0.023),room (0.039),american (0.005),approv (0.026),keep (0.018),women (0.014),northern (0.011),jm (0.041),
meet (0.008),personnel (0.004),cdm (0.030),foia (0.069),republican (0.005),food (0.012),hillari (0.021),meet (0.027),secur (0.005),special (0.026),albright (0.016),clinton (0.013),uup (0.011),approv (0.038),
tomorrow (0.008),love (0.003),h (0.028),inform (0.069),democrat (0.005),peopl (0.011),relat (0.018),state (0.022),us (0.005),lona (0.024),gt (0.016),democrat (0.013),vote (0.011),rate (0.023),
see (0.008),accept (0.003),wireless (0.022),redact (0.069),say (0.005),sustain (0.011),sbwhoeop (0.018),resid (0.022),presid (0.004),travel (0.024),advertis (0.014),messag (0.013),deal (0.011),handl (0.020),
thank (0.008),acorn (0.003),new (0.019),sensit (0.069),time (0.005),system (0.011),council (0.016),privat (0.022),israel (0.004),valmoro (0.024),group (0.014),wed (0.013),said (0.011),health (0.020),
go (0.007),american (0.003),happi (0.018),subject (0.069),new (0.005),health (0.010),dialogu (0.016),arriv (0.021),unit (0.004),clinton (0.023),inform (0.013),approv (0.011),labour (0.010),help (0.018),
w (0.007),beat (0.003),thx (0.018),waiver (0.069),senat (0.005),farmer (0.009),strateg (0.016),en (0.019),one (0.004),email (0.020),one (0.013),jan (0.010),support (0.009),peopl (0.016),
would (0.007),death (0.003),great (0.015),depart (0.063),hous (0.004),foundat (0.009),press (0.015),rout (0.019),new (0.004),need (0.020),post (0.013),independ (0.009),poll (0.009),care (0.014),
also (0.007),defin (0.003),handheld (0.013),case (0.058),parti (0.004),global (0.009),septemb (0.015),confer (0.016),obama (0.004),disapprov (0.018),sign (0.013),origin (0.009),unionist (0.009),hunger (0.014),
today (0.007),libya (0.003),think (0.013),thank (0.004),like (0.004),help (0.009),good (0.013),daili (0.013),nation (0.004),hillari (0.018),chri (0.011),secretari (0.009),dup (0.009),obama (0.014),
let (0.006),parent (0.003),love (0.012),director (0.004),year (0.004),polici (0.009),clip (0.013),time (0.013),work (0.004),access (0.017),contact (0.011),health (0.008),last (0.009),cheer (0.011),
back (0.006),power (0.003),satisfi (0.012),plan (0.004),polit (0.004),world (0.009),hrc (0.013),bilater (0.011),countri (0.004),reach (0.017),ambassador (0.010),microsoft (0.008),polic (0.008),econom (0.011),
